feedback_id,date,branch,product,client_comment,source
50465688-ef81-4a4a-97da-8c0375f089b2,2025-11-27,Calgary - Country Hills,Gold Cash Rewards Mastercard,Why does the app always fail to send e-Transfer when I try to pay bills?,Mobile App Survey
359215f4-fbac-4907-97c8-0fb32a99129f,2025-10-02,Digital (App/Web),Gold Cash Rewards Mastercard,Great experience with the Gold Cash Rewards Mastercard application process.,Mobile App Survey
48f8ccd8-2329-4bc7-bd7b-61e997176dc3,2025-09-11,Digital (App/Web),GIC,The staff at Calgary - 17th Ave were so efficient today.,Call Center Log
82428018-046c-45ad-b8e0-7e062fdde284,2025-10-04,Calgary - Country Hills,GIC,Customer service was unacceptable when I called about my Springboard Savings.,Mobile App Survey
760a60a0-4505-4e22-8970-672d837b644a,2025-06-05,Calgary - 17th Ave,No-Fee All-In Digital,The teller at Calgary - 17th Ave was very helpful and solved my issue.,Email
f2f6252e-e522-41f5-b17f-37f518ce031d,2025-06-19,Edmonton - Southgate,Unlimited Chequing,"I love the new Springboard Savings, it helps me save money.",Mobile App Survey
f55dd0be-b56d-4c03-a96b-5e9d27a1b2e2,2025-02-24,Calgary - 17th Ave,Gold Cash Rewards Mastercard,I tried to use the mobile app but fail to send e-Transfer.,Call Center Log
a48504cf-2bd3-4bd1-bbd9-221f1f6b7d8b,2025-07-11,Edmonton - Southgate,Springboard Savings,Great experience with the Business Operating Account application process.,Email
dd32e123-5932-4672-8ae1-b2c6a6dd0b20,2025-09-21,Red Deer - Gaetz Ave,Mortgage,"Best bank in Alberta, specifically for Gold Cash Rewards Mastercard.",Email
ad22be75-3a0b-49f8-af3c-9827ed82e747,2025-02-22,Red Deer - Gaetz Ave,Business Operating Account,,Email
4afec15a-dd57-4036-8853-c8f59e5b9729,2025-12-26,Digital (App/Web),No-Fee All-In Digital,"The new interface is confusing, I can't find my Gold Cash Rewards Mastercard details.",Email
2abd6809-34a1-4074-9d93-07ea494f558f,2025-03-31,Digital (App/Web),Gold Cash Rewards Mastercard,Biometric login on the app reject my cheque deposit every time after the update.,Mobile App Survey
540fe981-910f-4f05-ab9b-b508b0b25e83,2025-05-14,Calgary - Chinook,Business Operating Account,"The new interface is confusing, I can't find my Gold Cash Rewards Mastercard details.",Email
f047e446-c3e6-4a6b-a85e-51e714fe744d,2025-02-28,Calgary - Chinook,Mortgage,What are your hours?,Call Center Log
6cb5e506-4799-49ab-af72-1e6d25f9e80a,2025-03-06,Red Deer - Gaetz Ave,Springboard Savings,"I love the new GIC, it helps me save money.",Call Center Log
6cc9e347-9008-4ef2-a506-0076a9b83494,2025-02-22,Digital (App/Web),Springboard Savings,"Wait times at Calgary - Country Hills are unacceptable, I waited 45 minutes.",Call Center Log
3d370a53-b8a8-4dd7-bb44-e0d976e0407f,2025-06-17,Lethbridge - West,Unlimited Chequing,Why does the app always fail to send e-Transfer when I try to pay bills?,Mobile App Survey
ca63f840-85b7-44d2-ac87-b6fa2b29ac05,2025-05-17,Edmonton - Whythe Ave,Unlimited Chequing,"Best bank in Alberta, specifically for GIC.",Mobile App Survey
69f586d3-1cad-4961-b0a4-b95324f365ef,2026-01-21,Edmonton - Southgate,Mortgage,Great experience with the Business Operating Account application process.,Call Center Log
7f85a496-c20c-432a-935b-6e8cb5a35976,2025-08-13,Edmonton - Southgate,Springboard Savings,The teller at Red Deer - Gaetz Ave was very quick and solved my issue.,Call Center Log
a37c488b-e12f-41a3-bd9f-0121e2e3ff5b,2025-02-26,Edmonton - Southgate,Springboard Savings,Great experience with the No-Fee All-In Digital application process.,Call Center Log
028c8b2a-ccb4-4c10-bf40-eec4db5d4a74,2025-06-10,Edmonton - Whythe Ave,Springboard Savings,Customer service was painful when I called about my GIC.,Mobile App Survey
53f3ee4a-31ce-48e2-a1d3-1c3fe6d9d443,2025-03-03,Edmonton - Whythe Ave,GIC,"Disappointed with the Mortgage, the fees are too high.",Email
23d9bdc3-6be6-4f96-bba8-02c1c3fa8799,2025-04-14,Calgary - Chinook,Mortgage,"Fraud protection locked my card while I was in Banff, very ridiculous.",Call Center Log
13fb189a-ce7c-4235-b3a4-15bd6467880a,2026-02-11,Digital (App/Web),GIC,"The Unlimited Chequing is giving me trouble, show the wrong balance.",Call Center Log
8ad22385-3e91-4a2f-8319-ba388b3c16b1,2026-01-19,Edmonton - Southgate,Mortgage,Call me back@@.,Call Center Log
b1ba9a42-63c0-422b-9945-163a52184f96,2025-07-16,Calgary - 17th Ave,Mortgage,"The new interface is confusing, I can't find my Mortgage details.",Mobile App Survey
67c19fc0-c619-4e60-98b7-e6a702179426,2025-07-05,Digital (App/Web),Unlimited Chequing,I tried to use the mobile app but log me out randomly.,Call Center Log
7a877383-694d-46b5-867e-4cb936a93a90,2025-12-21,Calgary - 17th Ave,Springboard Savings,"Wait times at Edmonton - Southgate are horrible, I waited an hour.",Call Center Log
ea52097d-dc97-4673-8f65-e576e16ca049,2025-12-24,Red Deer - Gaetz Ave,Unlimited Chequing,Customer service was frustrating when I called about my No-Fee All-In Digital.,Email
64d8aa5d-36af-49c4-b67b-2fddef13dfda,2025-04-05,Calgary - Chinook,Mortgage,The staff at Lethbridge - West were so kind today.,Email
5885f05c-0ffa-4904-8c8f-843990443473,2025-06-04,Edmonton - Southgate,GIC,Customer service was unacceptable when I called about my Unlimited Chequing.,Call Center Log
2b534572-87ee-427b-81d1-ab9c8ec57ed6,2026-01-12,Edmonton - Southgate,Springboard Savings,I tried to use the mobile app but reject my cheque deposit.,Email
c1b88204-46fc-4e43-8eb5-f50aa5ba701e,2025-11-03,Digital (App/Web),Unlimited Chequing,Biometric login on the app fail to send e-Transfer every time after the update.,Email
0ae5e12d-68de-49b7-a527-fe272d7db3aa,2025-07-09,Calgary - 17th Ave,Unlimited Chequing,"The new interface is confusing, I can't find my Business Operating Account details.",Mobile App Survey
e2de64b3-71db-4be9-80fe-a684f0d091a9,2025-06-02,Calgary - Chinook,No-Fee All-In Digital,"I love the new GIC, it helps me save money.",Call Center Log
1e29b973-5bdd-4c83-8b12-6ccf1ce0c977,2025-05-18,Digital (App/Web),Mortgage,The teller at Digital (App/Web) was very friendly and solved my issue.,Call Center Log
3a71a251-3695-4367-a0da-a87f3f83256a,2025-08-05,Calgary - Country Hills,Unlimited Chequing,"The Mortgage is giving me trouble, fail to send e-Transfer.",Mobile App Survey
8df9225b-4b24-41d1-abba-210581fe3b05,2025-12-09,Edmonton - Southgate,GIC,"Disappointed with the Springboard Savings, the fees are too high.",Call Center Log
013e0f3e-6c1b-4e71-93cb-4c40ba89ad04,2025-05-02,Red Deer - Gaetz Ave,Springboard Savings,"Fraud protection locked my card while I was in Banff, very unacceptable.",Call Center Log
3fa2f3fe-51cd-4416-b5fb-4d21d81075ed,2025-12-12,Calgary - Chinook,Gold Cash Rewards Mastercard,Great experience with the Unlimited Chequing application process.,Mobile App Survey
5ff6f07e-9934-44c0-96aa-01a2bca4edda,2025-10-24,Edmonton - Southgate,Mortgage,"The Business Operating Account is giving me trouble, reject my cheque deposit.",Mobile App Survey
c0e9705a-7a65-41dd-aefa-d575f0c45eec,2025-08-09,Edmonton - Southgate,Springboard Savings,The staff at Edmonton - Southgate were so efficient today.,Call Center Log
66ee1345-ce60-4576-b18c-7bb0a46454c3,2025-11-20,Digital (App/Web),GIC,The teller at Edmonton - Whythe Ave was very quick and solved my issue.,Call Center Log
556392a2-5db4-45bd-95f4-348776ab6f34,2025-12-15,Calgary - 17th Ave,Business Operating Account,What are your hours?,Mobile App Survey
ee290e04-1d8e-402f-9065-24d1fc905f69,2025-06-28,Lethbridge - West,GIC,,Email
c73a9f2b-d942-4b49-8d6b-3605659278ed,2025-09-18,Calgary - Chinook,Springboard Savings,"Best bank in Alberta, specifically for Springboard Savings.",Email
23acd343-6b33-4a7d-84e8-caa3b82bc779,2025-02-22,Calgary - Chinook,Gold Cash Rewards Mastercard,"Wait times at Calgary - Chinook are horrible, I waited 20 mins.",Call Center Log
6e6d6699-b46e-49c3-a805-130914efc4bb,2025-04-16,Lethbridge - West,Gold Cash Rewards Mastercard,"The new interface is confusing, I can't find my Business Operating Account details.",Mobile App Survey
2a300fad-76f7-479f-bd8f-de315bf514dc,2025-08-05,Digital (App/Web),Business Operating Account,Why does the app always reject my cheque deposit when I try to pay bills?,Mobile App Survey
18c96eea-3b91-4379-86fc-2df14354a2c8,2025-07-29,Calgary - Country Hills,Unlimited Chequing,Customer service was frustrating when I called about my Springboard Savings.,Call Center Log
62671f51-ca83-4d41-a2e5-ac50540ed7b6,2025-08-31,Lethbridge - West,No-Fee All-In Digital,I tried to use the mobile app but ask for security questions I didn't set.,Call Center Log
7aa704df-6fb3-42e6-a0bd-8ace3dcfb831,2025-10-26,Calgary - Chinook,Mortgage,"The new interface is confusing, I can't find my Springboard Savings details.",Call Center Log
32c4f480-b24d-4466-9d66-954044d0bfda,2025-07-02,Digital (App/Web),Unlimited Chequing,"Best bank in Alberta, specifically for Springboard Savings.",Call Center Log
d9237302-45ed-48eb-ab7c-b0a6ce68243a,2025-09-21,Red Deer - Gaetz Ave,Unlimited Chequing,Great experience with the Springboard Savings application process.,Email
02ea9797-f750-4c79-a9b0-684323009b31,2025-12-20,Edmonton - Whythe Ave,Business Operating Account,The staff at Digital (App/Web) were so efficient today.,Mobile App Survey
9fd3095b-351f-461c-85db-41c87f8d68b6,2025-08-08,Calgary - Country Hills,Springboard Savings,,Email
f4ca6a7c-87f6-444e-a427-6615ebbf42b2,2025-07-11,Digital (App/Web),Springboard Savings,Why does the app always log me out randomly when I try to pay bills?,Call Center Log
35854178-7ccb-4905-a571-8768590ed0a9,2025-07-03,Calgary - Chinook,GIC,Customer service was horrible when I called about my GIC.,Email
e8e69f0c-400b-4593-9a46-3cbf80ab3828,2025-06-02,Calgary - 17th Ave,Gold Cash Rewards Mastercard,,Mobile App Survey
fa810706-4820-4c50-84ce-c33f762bac8a,2025-02-26,Red Deer - Gaetz Ave,Business Operating Account,"Finally, the app works for GIC!",Mobile App Survey
a256dc70-e16d-4e67-8cfd-47d33f76856e,2025-08-29,Lethbridge - West,Business Operating Account,The staff at Calgary - Country Hills were so quick today.,Call Center Log
8de69f57-c019-4fef-86a7-0e210688b49d,2025-08-08,Digital (App/Web),Business Operating Account,"The Gold Cash Rewards Mastercard is giving me trouble, crash on startup.",Email
4b674a71-3c92-405c-8d36-e53ac28b7eb0,2025-11-22,Edmonton - Whythe Ave,Unlimited Chequing,What are your hours?,Mobile App Survey
32f56c0e-98e2-4d5c-9349-1d96ff8b88a0,2025-08-22,Lethbridge - West,Business Operating Account,Statement update.,Email
47444551-c83e-42c3-9ef0-bea510c38ca6,2025-10-09,Calgary - Chinook,Business Operating Account,"The new interface is confusing, I can't find my Unlimited Chequing details.",Call Center Log
67009872-9875-495d-9bbf-0ede14140d68,2025-04-17,Calgary - 17th Ave,Unlimited Chequing,Why does the app always fail to send e-Transfer when I try to pay bills?,Call Center Log
3285b515-96f4-4f36-b6a9-703b8e993f40,2025-07-16,Edmonton - Whythe Ave,GIC,The staff at Digital (App/Web) were so helpful today.,Call Center Log
43105444-251a-4406-a8ca-9d6e79464ec7,2025-12-25,Calgary - Country Hills,Mortgage,The teller at Lethbridge - West was very kind and solved my issue.,Email
36d8c531-0387-4738-a434-eb30db9c3969,2026-01-15,Calgary - Chinook,Mortgage,Biometric login on the app reject my cheque deposit every time after the update.,Mobile App Survey
b0b726f0-0ebb-4da1-b7a4-85000043cd34,2026-02-01,Edmonton - Whythe Ave,GIC,,Call Center Log
2b2f20ea-b4fd-4f42-808d-a83225c78776,2026-01-03,Digital (App/Web),Springboard Savings,Statement update.,Email
863a1024-e268-4c75-81d4-07bf2a14c98e,2025-07-13,Digital (App/Web),No-Fee All-In Digital,Customer service was horrible when I called about my Unlimited Chequing.,Call Center Log
c65189c9-9d1c-434a-b39c-79531a862b13,2025-08-11,Digital (App/Web),GIC,Why does the app always crash on startup when I try to pay bills?,Email
dfbce459-806a-4f43-8b4a-691034593696,2026-01-17,Lethbridge - West,Springboard Savings,Biometric login on the app ask for security questions I didn't set every time after the update.,Mobile App Survey
96bc464d-4b0a-4b2d-b936-a18658127006,2025-04-27,Digital (App/Web),Mortgage,"Fraud protection locked my card while I was in Banff, very horrible.",Email
c9e277ad-7f09-48e7-a990-6db014799d88,2025-04-17,Digital (App/Web),Gold Cash Rewards Mastercard,Biometric login on the app log me out randomly every time after the update.,Email
c7a97cfa-53b4-498d-b5f1-028d9fca291b,2025-04-27,Edmonton - Southgate,Mortgage,"Finally, the app works for No-Fee All-In Digital!",Email
7bfa5764-056a-4f02-b454-ee3ef493952f,2026-02-10,Digital (App/Web),Gold Cash Rewards Mastercard,"Disappointed with the GIC, the fees are too high.",Email
cd9baa99-aa86-49b5-9ee6-4c363f8ee791,2025-08-13,Red Deer - Gaetz Ave,Mortgage,"Wait times at Digital (App/Web) are unacceptable, I waited 20 mins.",Mobile App Survey
2c7f776e-9be0-4c41-99a4-8f27545c5d89,2025-11-02,Red Deer - Gaetz Ave,Unlimited Chequing,Customer service was slow when I called about my Mortgage.,Call Center Log
84f68cc3-f060-4ca2-84ab-362622c0ac92,2025-07-21,Digital (App/Web),Gold Cash Rewards Mastercard,"I love the new Unlimited Chequing, it helps me save money.",Email
9723c84a-2324-4674-8281-de125234533d,2025-12-07,Red Deer - Gaetz Ave,Mortgage,"Wait times at Digital (App/Web) are painful, I waited 20 mins.",Mobile App Survey
54cbe14b-0d01-4d18-905c-a84d83587e3d,2026-01-14,Lethbridge - West,Mortgage,Great experience with the No-Fee All-In Digital application process.,Email
ec38107a-d932-4596-8d00-d8ab349bd070,2025-04-12,Calgary - Country Hills,Business Operating Account,I have a question about my account.,Call Center Log
e166054c-b24a-4947-b536-c2dd85052e26,2025-07-07,Edmonton - Southgate,Mortgage,"Wait times at Calgary - 17th Ave are unacceptable, I waited 45 minutes.",Mobile App Survey
037bc773-add4-441e-872d-687b5757a42f,2026-01-20,Digital (App/Web),Mortgage,"Fraud protection locked my card while I was in Banff, very unacceptable.",Mobile App Survey
445dd929-e4d4-4a48-950d-48adb15c4b59,2025-11-18,Red Deer - Gaetz Ave,Springboard Savings,"Fraud protection locked my card while I was in Banff, very ridiculous.",Email
d74c7766-a57a-4f82-aed6-04723b9b0bfc,2025-10-30,Digital (App/Web),GIC,"The Business Operating Account is giving me trouble, crash on startup.",Mobile App Survey
47445eac-079a-49af-9265-6d1ccff97dba,2025-07-17,Calgary - Country Hills,GIC,The staff at Calgary - Country Hills were so quick today.,Mobile App Survey
d72c0fea-a99a-461b-921f-f640e3811c0f,2025-09-27,Calgary - 17th Ave,Unlimited Chequing,"Wait times at Lethbridge - West are frustrating, I waited 20 mins.",Email
af004f6e-c6fc-4411-a2be-ddf4f7555295,2026-02-04,Calgary - 17th Ave,Business Operating Account,Statement update.,Call Center Log
b09a2549-ef29-42df-abbf-0a06672c1a97,2025-10-03,Calgary - Country Hills,No-Fee All-In Digital,"Fraud protection locked my card while I was in Banff, very unacceptable.",Call Center Log
84f65952-31f2-4948-8437-4e794ca32c48,2025-09-13,Calgary - Country Hills,No-Fee All-In Digital,"Wait times at Lethbridge - West are frustrating, I waited 20 mins.",Email
e6adfcd0-181d-48cb-91cc-660475789566,2026-02-09,Edmonton - Whythe Ave,Unlimited Chequing,Great experience with the No-Fee All-In Digital application process.,Email
68b45633-7544-4907-a4ff-a703502baef3,2026-01-26,Lethbridge - West,Business Operating Account,???,Mobile App Survey
047e77a6-4c33-42f2-a728-8a0cd664987e,2026-02-09,Digital (App/Web),GIC,"The Springboard Savings is giving me trouble, freeze at the login screen.",Email
2ac06ead-3978-45c1-a611-ede1adf5dd55,2025-08-10,Edmonton - Southgate,Unlimited Chequing,Great experience with the Springboard Savings application process.,Call Center Log
5c10f4a8-0f5d-4a60-be04-34b2205d0c9d,2025-10-07,Edmonton - Whythe Ave,Unlimited Chequing,Great experience with the Unlimited Chequing application process.,Email
04abae05-4bda-47b9-b578-acf5803ee1f7,2025-03-03,Digital (App/Web),Unlimited Chequing,Biometric login on the app show the wrong balance every time after the update.,Email
1a97ba10-c8b4-4d8e-94a3-41336442dd2a,2025-10-27,Edmonton - Southgate,No-Fee All-In Digital,"The new interface is confusing, I can't find my GIC details.",Email
a15623a7-2c5b-4470-b7eb-c0ee71c2475f,2025-02-28,Edmonton - Southgate,GIC,Statement update.,Mobile App Survey
fb0c13f4-a918-40d4-8497-06172d49cee1,2025-08-05,Calgary - 17th Ave,Mortgage,"Finally, the app works for Business Operating Account!",Email
56d9c1c7-7bd6-4235-9df8-a96add5ac248,2025-04-08,Calgary - 17th Ave,Business Operating Account,Great experience with the GIC application process.,Mobile App Survey
7fc24737-6708-4835-b24a-3ece95dd2cfc,2025-11-25,Digital (App/Web),Business Operating Account,The teller at Lethbridge - West was very friendly and solved my issue.,Call Center Log
8b723840-b9fa-4f82-a5a4-bc5d50c08988,2025-04-10,Digital (App/Web),No-Fee All-In Digital,"Finally, the app works for GIC!",Email
ff6392ce-86b8-4694-ab28-8a0587881425,2025-03-12,Calgary - Chinook,Unlimited Chequing,I tried to use the mobile app but fail to send e-Transfer.,Call Center Log
ba339deb-7a69-4659-92dc-ecb56386020a,2025-07-21,Calgary - Chinook,Springboard Savings,???,Mobile App Survey
4bd33366-8aff-4b3a-8843-2b6ef510f355,2025-05-23,Digital (App/Web),Mortgage,"Finally, the app works for No-Fee All-In Digital!",Email
dc1a5606-32b2-4e84-ba64-68b3275f99da,2025-05-11,Edmonton - Whythe Ave,Unlimited Chequing,"I love the new Unlimited Chequing, it helps me save money.",Mobile App Survey
2d6880b8-098e-4d7d-a655-7c9f190f6763,2025-07-19,Digital (App/Web),No-Fee All-In Digital,"Disappointed with the Business Operating Account, the fees are too high.",Email
8e112b82-a760-4ef2-b264-a146665af216,2025-04-25,Digital (App/Web),GIC,???,Call Center Log
8c753a07-d253-409c-b926-bc8febc041c4,2025-04-21,Red Deer - Gaetz Ave,Mortgage,Why does the app always log me out randomly when I try to pay bills?,Email
93dbb3e6-9d07-4634-b1e3-eaaa402f437d,2025-09-12,Edmonton - Southgate,GIC,"Fraud protection locked my card while I was in Banff, very horrible.",Mobile App Survey
109bdfe4-ed9b-4b48-b84a-4a465823b4ec,2025-11-23,Digital (App/Web),Unlimited Chequing,What are your hours?,Mobile App Survey
55813e53-6501-49ca-9d74-fcda72564fea,2025-10-19,Digital (App/Web),Mortgage,"Disappointed with the Business Operating Account, the fees are too high.",Call Center Log
599ee431-1937-4116-9391-43d6bd4a420e,2025-06-01,Calgary - 17th Ave,Gold Cash Rewards Mastercard,"The new interface is confusing, I can't find my GIC details.",Call Center Log
b77a617b-43c8-45af-a30c-2f5762f0df82,2025-09-02,Digital (App/Web),Business Operating Account,The staff at Calgary - Chinook were so efficient today.,Call Center Log
9f17ae65-8347-4b75-b23f-7350bc260d96,2025-05-01,Digital (App/Web),Springboard Savings,"The new interface is confusing, I can't find my Unlimited Chequing details.",Call Center Log
60be9b75-892a-4b87-b542-7c921cff5168,2025-09-06,Digital (App/Web),Springboard Savings,The teller at Digital (App/Web) was very amazing and solved my issue.,Mobile App Survey
75f80b4d-2f75-4150-845d-e314d211bd32,2025-04-09,Lethbridge - West,Business Operating Account,"The GIC is giving me trouble, fail to send e-Transfer.",Call Center Log
eca92a94-91e3-4424-af27-9a8ec946d16f,2025-08-05,Red Deer - Gaetz Ave,No-Fee All-In Digital,Customer service was ridiculous when I called about my No-Fee All-In Digital.,Email
3b67137a-670e-4029-b689-dc94ff3ee219,2025-05-08,Edmonton - Whythe Ave,Springboard Savings,"The Gold Cash Rewards Mastercard is giving me trouble, show the wrong balance.",Call Center Log
3c4aaece-b8db-4358-a164-5c18f44d732e,2025-10-21,Digital (App/Web),Springboard Savings,"Best bank in Alberta, specifically for Springboard Savings.",Mobile App Survey
5c28869a-e947-4d9f-b4c9-fead4bbe20b5,2025-11-05,Digital (App/Web),Business Operating Account,The staff at Digital (App/Web) were so kind today.,Email
4a832286-488e-4ad0-a7b9-e04d960f98ae,2025-06-05,Lethbridge - West,Springboard Savings,Why does the app always decline my card when I try to pay bills?,Call Center Log
b2b92f3d-dbe5-41de-9a96-43384befafd9,2025-11-26,Digital (App/Web),Springboard Savings,The staff at Calgary - Country Hills were so helpful today.,Email
cd97aeef-ea95-4202-92a8-5f9487e346a8,2025-12-22,Calgary - Country Hills,GIC,Great experience with the Springboard Savings application process.,Mobile App Survey
04974e18-c55a-4c45-aedc-3f9f3f5d49f3,2025-07-23,Calgary - Country Hills,Gold Cash Rewards Mastercard,Why does the app always crash on startup when I try to pay bills?,Email
276618ef-daf5-4ecb-a2fc-6714bf652a7d,2025-09-23,Calgary - 17th Ave,No-Fee All-In Digital,,Mobile App Survey
cdfaea59-23e6-4380-94af-8d93bf45bfcd,2025-09-25,Digital (App/Web),Springboard Savings,"The new interface is confusing, I can't find my Springboard Savings details.",Mobile App Survey
3f182ac7-19ad-4455-b39d-c7a0d03356f4,2025-07-30,Calgary - Country Hills,No-Fee All-In Digital,"The new interface is confusing, I can't find my Gold Cash Rewards Mastercard details.",Email
